T26,Water supply and sanitation services,,,,,
748,Swaziland,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",82.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
748,Swaziland,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",88.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
752,Sweden,2005,"Safely managed drinking water sources, total (Proportion of population with access)",98.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
752,Sweden,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",92.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
752,Sweden,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",86.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
752,Sweden,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",91.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
752,Sweden,2010,"Safely managed drinking water sources, total (Proportion of population with access)",98.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
752,Sweden,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",92.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
752,Sweden,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",87.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
752,Sweden,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",91.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
752,Sweden,2015,"Safely managed drinking water sources, total (Proportion of population with access)",98.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
752,Sweden,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",93.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
752,Sweden,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",87.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
752,Sweden,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",92.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
756,Switzerland,2005,"Safely managed drinking water sources, total (Proportion of population with access)",93.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
756,Switzerland,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",98.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
756,Switzerland,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",97.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
756,Switzerland,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",98.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
756,Switzerland,2010,"Safely managed drinking water sources, total (Proportion of population with access)",94.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
756,Switzerland,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",99.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
756,Switzerland,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",97.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
756,Switzerland,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",98.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
756,Switzerland,2015,"Safely managed drinking water sources, total (Proportion of population with access)",95.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
756,Switzerland,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",99.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
756,Switzerland,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",96.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
756,Switzerland,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",99.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
762,Tajikistan,2005,"Safely managed drinking water sources, total (Proportion of population with access)",40.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
762,Tajikistan,2010,"Safely managed drinking water sources, total (Proportion of population with access)",44.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
762,Tajikistan,2015,"Safely managed drinking water sources, total (Proportion of population with access)",47.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
807,TFYR of Macedonia,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",97.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
807,TFYR of Macedonia,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",82.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
807,TFYR of Macedonia,2005,"Safely managed drinking water sources, total (Proportion of population with access)",91.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
807,TFYR of Macedonia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",92.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
807,TFYR of Macedonia,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",89.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
807,TFYR of Macedonia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",91.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
807,TFYR of Macedonia,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",90.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
807,TFYR of Macedonia,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",74.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
807,TFYR of Macedonia,2015,"Safely managed drinking water sources, total (Proportion of population with access)",83.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
788,Tunisia,2005,"Safely managed drinking water sources, total (Proportion of population with access)",62.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
788,Tunisia,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",78.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
788,Tunisia,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",63.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
788,Tunisia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",89.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
788,Tunisia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",84.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
788,Tunisia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",69.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
788,Tunisia,2015,"Safely managed drinking water sources, total (Proportion of population with access)",92.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
788,Tunisia,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",88.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
788,Tunisia,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",73.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
792,Turkey,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",44.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
792,Turkey,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",26.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
792,Turkey,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",46.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
792,Turkey,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",36.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
792,Turkey,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",48.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
792,Turkey,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",44.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
795,Turkmenistan,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",87.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
795,Turkmenistan,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",61.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
795,Turkmenistan,2005,"Safely managed drinking water sources, total (Proportion of population with access)",73.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
795,Turkmenistan,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",86.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
795,Turkmenistan,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",73.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
795,Turkmenistan,2010,"Safely managed drinking water sources, total (Proportion of population with access)",79.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
795,Turkmenistan,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",85.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
795,Turkmenistan,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",86.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
795,Turkmenistan,2015,"Safely managed drinking water sources, total (Proportion of population with access)",86.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
798,Tuvalu,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",0.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
798,Tuvalu,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",6.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
798,Tuvalu,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",8.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
798,Tuvalu,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",7.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
798,Tuvalu,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",0.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
798,Tuvalu,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",6.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
798,Tuvalu,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",11.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
798,Tuvalu,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",8.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
798,Tuvalu,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",0.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
798,Tuvalu,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",5.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
798,Tuvalu,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",14.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
798,Tuvalu,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",9.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
800,Uganda,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",22.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
800,Uganda,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",1.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
800,Uganda,2005,"Safely managed drinking water sources, total (Proportion of population with access)",4.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
800,Uganda,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",20.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
800,Uganda,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",3.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
800,Uganda,2010,"Safely managed drinking water sources, total (Proportion of population with access)",5.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
800,Uganda,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",17.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
800,Uganda,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",4.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
800,Uganda,2015,"Safely managed drinking water sources, total (Proportion of population with access)",6.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
804,Ukraine,2005,"Safely managed drinking water sources, total (Proportion of population with access)",70.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
804,Ukraine,2010,"Safely managed drinking water sources, total (Proportion of population with access)",84.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
804,Ukraine,2015,"Safely managed drinking water sources, total (Proportion of population with access)",92.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
784,United Arab Emirates,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",95.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
784,United Arab Emirates,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",81.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
784,United Arab Emirates,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",92.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
784,United Arab Emirates,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",95.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
784,United Arab Emirates,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",81.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
784,United Arab Emirates,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",93.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
784,United Arab Emirates,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",95.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
784,United Arab Emirates,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",81.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
784,United Arab Emirates,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",93.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
826,United Kingdom,2005,"Safely managed drinking water sources, total (Proportion of population with access)",95.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
826,United Kingdom,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",98.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
826,United Kingdom,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",91.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
826,United Kingdom,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",97.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
826,United Kingdom,2010,"Safely managed drinking water sources, total (Proportion of population with access)",95.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
826,United Kingdom,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",98.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
826,United Kingdom,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",91.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
826,United Kingdom,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",97.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
826,United Kingdom,2015,"Safely managed drinking water sources, total (Proportion of population with access)",95.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
826,United Kingdom,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",98.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
826,United Kingdom,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",91.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
826,United Kingdom,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",97.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
834,United Rep. of Tanzania,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",13.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
834,United Rep. of Tanzania,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",27.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
834,United Rep. of Tanzania,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",33.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
840,United States of America,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",99.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
840,United States of America,2005,"Safely managed drinking water sources, total (Proportion of population with access)",99.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
